Id;WorkItemType;Title;Assigned To;State;Tags;
3424;Feature;[WEB0012] Criação de template TIM;fabiana.h.uchida;Active;null
3544;Feature;[WEB0002][Portal_MeuTIM][PWEB e API];ygor.bandin.satiro;Active;null
3545;Requirement;[WEB0002] Estimativa;ygor.bandin.satiro;Active;null
3546;Task;[WEB0002] Estimativa - Equipe Desenvolvimento - IA;ygor.bandin.satiro;Active;null
3547;Task;[WEB0002] Estimativa - Equipe Desenvolvimento - IA Review;Daniel São Pedro;Active;null
3548;Task;[WEB0002] Estimativa - Equipe Desenvolvimento - FFPA;ygor.bandin.satiro;Active;null
3551;Task;[WEB0002] Estimativa - Equipe Desenvolvimento - EP;ygor.bandin.satiro;Active;null
3616;Task;[WEB0020] Estimativa - Equipe Desenvolvimento - IA;daniel.da.s.resende;Active;null
3667;Epic;[WEB0026][TIR#305677][DMXXXXXXXX][OTP][HE][OAAM] Relatório de Analytics;daniel.da.s.resende;Active;null
3808;Feature;[WEB0030][TIR#316106][Portal TIM Vendas] - Alteração no serviço de consulta de usuário pela URA;miguel.candeia.netto;Active;null
3910;Feature;[TIM2724][PortalMeuTIM][Britney];Arthur R. Oliveira;Active;null
4086;Requirement;[WEB0012] Criação de template TIM;fabiana.h.uchida;Active;null
4258;Feature;[TIR#318382][DMXXXXXX][OAG - Group1] ajuste na API para recuperar o pdf de uma fatura informada no payload - URL Encode;miguel.candeia.netto;Active;null
4298;Feature;[WEB0039] Meu_TIM;karolinny.a.silva;Active;null
4687;Requirement;[WEB0002][Portal Meu TIM] Dashboard - Entrega 2;ygor.bandin.satiro;Active;null
4703;Requirement;[WEB0002][API] Dashboard - Entrega 2;ygor.bandin.satiro;Active;null
4715;Requirement;[WEB0002] Delivery e Coordenação;ygor.bandin.satiro;Active;null
6418;Feature;[WEB0065][Novo Portal Meu TIM];fabiana.h.uchida;Active;null
7175;Task;[Home] Coding - Lightboxes;Arthur R. Oliveira;Active;null
7602;Task;[WEB0023] [Controle de Duplo Optin] Coding;gustavo.a.romero;Active;null
7628;Feature;[WEB0023][OAM][Accesscontrol];daniel.da.s.resende;Active;null
7643;Task;[WEB0023] [Controle de Duplo Optin] PTE - Bug Fixing;gustavo.a.romero;Active;null
7648;Task;[WEB0023] Coordenação DSV;daniel.da.s.resende;Active;null
7649;Task;[WEB0023] Coordenação TST;daniel.da.s.resende;Active;null
7766;Task;[WEB0026] Coordenação DSV;daniel.da.s.resende;Active;null
11769;Requirement;[WEB0114] Delivery e Coordenação;tassio.h.gouveia;Active;null
11773;Task;[WEB0114] Coordenação DSV;tassio.h.gouveia;Active;null
14317;Feature;[WEB0113];paulo.pimenta.filho;Active;null
14474;Task;[WEB0113][Batch Carga Inclusão Perfil] Automatizar PTE;gustavo.a.romero;Active;null
14475;Task;[WEB0113][Batch Carga Inclusão Perfil] Automatizar PTE Review;gustavo.a.romero;Active;null
14544;Task;[WEB0113][Batch Vend Perfil Sargento] Automatizar PTE Review;gustavo.a.romero;Active;null
14895;Bug;[SDN#327259][WEB0002][DM17001498][NodeJS] Erro na label 201710091920_Camada_Exposicao_API_DM17001498_TIR323509_B;ygor.bandin.satiro;Active;null
14908;Task;[WEB0114][200 dias][OAG] Elegibilidade - Coding;luis.o.oliveira;Active;null
14909;Task;[WEB0114][200 dias][OAG] Elegibilidade - PTE;luis.o.oliveira;Active;null
14913;Task;[WEB0114][200 dias][OAG] Consulta de domínios - Criação de Escopo;allys.dantas;Active;null
14915;Task;[WEB0114][200 dias][OAG] Consulta de domínios - Coding;luis.o.oliveira;Active;null
15496;Feature;Migração para o VSTS;paulo.pimenta.filho;Active;null
